Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001385,1,0,0,1,0,5316,0,136,360,1,Urban,1
LP001387,0,1,0,1,N/A,2929,2333,139,360,1,Semiurban,1
LP001391,1,1,0,0,0,3572,4114,152,N/A,0,Rural,0
LP001392,0,0,1,1,1,7451,0,N/A,360,1,Semiurban,1
LP001398,1,0,0,1,N/A,5050,0,118,360,1,Semiurban,1
LP001401,1,1,1,1,0,14583,0,185,180,1,Rural,1
LP001404,0,1,0,1,0,3167,2283,154,360,1,Semiurban,1
LP001405,1,1,1,1,0,2214,1398,85,360,N/A,Urban,1
LP001421,1,1,0,1,0,5568,2142,175,360,1,Rural,0
LP001422,0,0,0,1,0,10408,0,259,360,1,Urban,1
LP001426,1,1,N/A,1,0,5667,2667,180,360,1,Rural,1
LP001430,0,0,0,1,0,4166,0,44,360,1,Semiurban,1
LP001431,0,0,0,1,0,2137,8980,137,360,0,Semiurban,1
LP001432,1,1,2,1,0,2957,0,81,360,1,Semiurban,1
LP001439,1,1,0,0,0,4300,2014,194,360,1,Rural,1
LP001443,0,0,0,1,0,3692,0,93,360,N/A,Rural,1
LP001448,N/A,1,3,1,0,23803,0,370,360,1,Rural,1
LP001449,1,0,0,1,0,3865,1640,N/A,360,1,Rural,1
LP001451,1,1,1,1,1,10513,3850,160,180,0,Urban,0
LP001465,1,1,0,1,0,6080,2569,182,360,N/A,Rural,0
LP001469,1,0,0,1,1,20166,0,650,480,N/A,Urban,1
LP001473,1,0,0,1,0,2014,1929,74,360,1,Urban,1
LP001478,1,0,0,1,0,2718,0,70,360,1,Semiurban,1
LP001482,1,1,0,1,1,3459,0,25,120,1,Semiurban,1
LP001487,1,0,0,1,0,4895,0,102,360,1,Semiurban,1
LP001488,1,1,3,1,0,4000,7750,290,360,1,Semiurban,0
LP001489,0,1,0,1,0,4583,0,84,360,1,Rural,0
LP001491,1,1,2,1,1,3316,3500,88,360,1,Urban,1
LP001492,1,0,0,1,0,14999,0,242,360,0,Semiurban,0
LP001493,1,1,2,0,0,4200,1430,129,360,1,Rural,0
LP001497,1,1,2,1,0,5042,2083,185,360,1,Rural,0
LP001498,1,0,0,1,0,5417,0,168,360,1,Urban,1
LP001504,1,0,0,1,1,6950,0,175,180,1,Semiurban,1
LP001507,1,1,0,1,0,2698,2034,122,360,1,Semiurban,1
LP001508,1,1,2,1,0,11757,0,187,180,1,Urban,1
LP001514,0,1,0,1,0,2330,4486,100,360,1,Semiurban,1
LP001516,0,1,2,1,0,14866,0,70,360,1,Urban,1
LP001518,1,1,1,1,0,1538,1425,30,360,1,Urban,1
LP001519,0,0,0,1,0,10000,1666,225,360,1,Rural,0
LP001520,1,1,0,1,0,4860,830,125,360,1,Semiurban,1
LP001528,1,0,0,1,0,6277,0,118,360,0,Rural,0
LP001529,1,1,0,1,1,2577,3750,152,360,1,Rural,1
LP001531,1,0,0,1,0,9166,0,244,360,1,Urban,0
LP001532,1,1,2,0,0,2281,0,113,360,1,Rural,0
LP001535,1,0,0,1,0,3254,0,50,360,1,Urban,1
LP001536,1,1,3,1,0,39999,0,600,180,0,Semiurban,1
LP001541,1,1,1,1,0,6000,0,160,360,N/A,Rural,1
LP001543,1,1,1,1,0,9538,0,187,360,1,Urban,1
LP001546,1,0,0,1,N/A,2980,2083,120,360,1,Rural,1
LP001552,1,1,0,1,0,4583,5625,255,360,1,Semiurban,1
LP001560,1,1,0,0,0,1863,1041,98,360,1,Semiurban,1
LP001562,1,1,0,1,0,7933,0,275,360,1,Urban,0
LP001565,1,1,1,1,0,3089,1280,121,360,0,Semiurban,0
LP001570,1,1,2,1,0,4167,1447,158,360,1,Rural,1
LP001572,1,1,0,1,0,9323,0,75,180,1,Urban,1
LP001574,1,1,0,1,0,3707,3166,182,N/A,1,Rural,1
LP001577,0,1,0,1,0,4583,0,112,360,1,Rural,0
LP001578,1,1,0,1,0,2439,3333,129,360,1,Rural,1
LP001579,1,0,0,1,0,2237,0,63,480,0,Semiurban,0
LP001580,1,1,2,1,0,8000,0,200,360,1,Semiurban,1
LP001581,1,1,0,0,N/A,1820,1769,95,360,1,Rural,1
LP001585,N/A,1,3,1,0,51763,0,700,300,1,Urban,1
LP001586,1,1,3,0,0,3522,0,81,180,1,Rural,0
LP001594,1,1,0,1,0,5708,5625,187,360,1,Semiurban,1
LP001603,1,1,0,0,1,4344,736,87,360,1,Semiurban,0
LP001606,1,1,0,1,0,3497,1964,116,360,1,Rural,1
LP001608,1,1,2,1,0,2045,1619,101,360,1,Rural,1
LP001610,1,1,3,1,0,5516,11300,495,360,0,Semiurban,0
LP001616,1,1,1,1,0,3750,0,116,360,1,Semiurban,1
LP001630,1,0,0,0,0,2333,1451,102,480,0,Urban,0
LP001633,1,1,1,1,0,6400,7250,180,360,0,Urban,0
LP001634,1,0,0,1,0,1916,5063,67,360,N/A,Rural,0
LP001636,1,1,0,1,0,4600,0,73,180,1,Semiurban,1
LP001637,1,1,1,1,0,33846,0,260,360,1,Semiurban,0
LP001639,0,1,0,1,0,3625,0,108,360,1,Semiurban,1
LP001640,1,1,0,1,1,39147,4750,120,360,1,Semiurban,1
LP001641,1,1,1,1,1,2178,0,66,300,0,Rural,0
LP001643,1,1,0,1,0,2383,2138,58,360,N/A,Rural,1
LP001644,N/A,1,0,1,1,674,5296,168,360,1,Rural,1
LP001647,1,1,0,1,0,9328,0,188,180,1,Rural,1
LP001653,1,0,0,0,0,4885,0,48,360,1,Rural,1
LP001656,1,0,0,1,0,12000,0,164,360,1,Semiurban,0
LP001657,1,1,0,0,0,6033,0,160,360,1,Urban,0
LP001658,1,0,0,1,0,3858,0,76,360,1,Semiurban,1
LP001664,1,0,0,1,0,4191,0,120,360,1,Rural,1
LP001665,1,1,1,1,0,3125,2583,170,360,1,Semiurban,0
LP001666,1,0,0,1,0,8333,3750,187,360,1,Rural,1
LP001669,0,0,0,0,0,1907,2365,120,N/A,1,Urban,1
LP001671,0,1,0,1,0,3416,2816,113,360,N/A,Semiurban,1
LP001673,1,0,0,1,1,11000,0,83,360,1,Urban,0
LP001674,1,1,1,0,0,2600,2500,90,360,1,Semiurban,1
LP001677,1,0,2,1,0,4923,0,166,360,0,Semiurban,1
LP001682,1,1,3,0,0,3992,0,N/A,180,1,Urban,0
LP001688,1,1,1,0,0,3500,1083,135,360,1,Urban,1
LP001691,1,1,2,0,0,3917,0,124,360,1,Semiurban,1
LP001692,0,0,0,0,0,4408,0,120,360,1,Semiurban,1
LP001693,0,0,0,1,0,3244,0,80,360,1,Urban,1
LP001698,1,0,0,0,0,3975,2531,55,360,1,Rural,1
LP001699,1,0,0,1,0,2479,0,59,360,1,Urban,1
LP001702,1,0,0,1,0,3418,0,127,360,1,Semiurban,0
LP001708,0,0,0,1,0,10000,0,214,360,1,Semiurban,0
LP001711,1,1,3,1,0,3430,1250,128,360,0,Semiurban,0
LP001713,1,1,1,1,1,7787,0,240,360,1,Urban,1
LP001715,1,1,3,0,1,5703,0,130,360,1,Rural,1
LP001716,1,1,0,1,0,3173,3021,137,360,1,Urban,1
LP001720,1,1,3,0,0,3850,983,100,360,1,Semiurban,1
LP001722,1,1,0,1,0,150,1800,135,360,1,Rural,0
LP001726,1,1,0,1,0,3727,1775,131,360,1,Semiurban,1
LP001732,1,1,2,1,N/A,5000,0,72,360,0,Semiurban,0
LP001734,0,1,2,1,0,4283,2383,127,360,N/A,Semiurban,1
LP001736,1,1,0,1,0,2221,0,60,360,0,Urban,0
LP001743,1,1,2,1,0,4009,1717,116,360,1,Semiurban,1
LP001744,1,0,0,1,0,2971,2791,144,360,1,Semiurban,1
LP001749,1,1,0,1,0,7578,1010,175,N/A,1,Semiurban,1
LP001750,1,1,0,1,0,6250,0,128,360,1,Semiurban,1
LP001751,1,1,0,1,0,3250,0,170,360,1,Rural,0
LP001754,1,1,N/A,0,1,4735,0,138,360,1,Urban,0
LP001758,1,1,2,1,0,6250,1695,210,360,1,Semiurban,1
LP001760,1,N/A,N/A,1,0,4758,0,158,480,1,Semiurban,1
LP001761,1,0,0,1,1,6400,0,200,360,1,Rural,1
LP001765,1,1,1,1,0,2491,2054,104,360,1,Semiurban,1
LP001768,1,1,0,1,N/A,3716,0,42,180,1,Rural,1
LP001770,1,0,0,0,0,3189,2598,120,N/A,1,Rural,1
LP001776,0,0,0,1,0,8333,0,280,360,1,Semiurban,1
LP001778,1,1,1,1,0,3155,1779,140,360,1,Semiurban,1
LP001784,1,1,1,1,0,5500,1260,170,360,1,Rural,1
LP001786,1,1,0,1,N/A,5746,0,255,360,N/A,Urban,0
LP001788,0,0,0,1,1,3463,0,122,360,N/A,Urban,1
LP001790,0,0,1,1,0,3812,0,112,360,1,Rural,1
LP001792,1,1,1,1,0,3315,0,96,360,1,Semiurban,1
LP001798,1,1,2,1,0,5819,5000,120,360,1,Rural,1
LP001800,1,1,1,0,0,2510,1983,140,180,1,Urban,0
LP001806,1,0,0,1,0,2965,5701,155,60,1,Urban,1
LP001807,1,1,2,1,1,6250,1300,108,360,1,Rural,1
LP001811,1,1,0,0,0,3406,4417,123,360,1,Semiurban,1
LP001813,1,0,0,1,1,6050,4333,120,180,1,Urban,0
LP001814,1,1,2,1,0,9703,0,112,360,1,Urban,1
LP001819,1,1,1,0,0,6608,0,137,180,1,Urban,1
LP001824,1,1,1,1,0,2882,1843,123,480,1,Semiurban,1
LP001825,1,1,0,1,0,1809,1868,90,360,1,Urban,1
LP001835,1,1,0,0,0,1668,3890,201,360,0,Semiurban,0
LP001836,0,0,2,1,0,3427,0,138,360,1,Urban,0
LP001841,1,0,0,0,1,2583,2167,104,360,1,Rural,1
LP001843,1,1,1,0,0,2661,7101,279,180,1,Semiurban,1
LP001844,1,0,0,1,1,16250,0,192,360,0,Urban,0
LP001846,0,0,3,1,0,3083,0,255,360,1,Rural,1
LP001849,1,0,0,0,0,6045,0,115,360,0,Rural,0
LP001854,1,1,3,1,0,5250,0,94,360,1,Urban,0
LP001859,1,1,0,1,0,14683,2100,304,360,1,Rural,0
LP001864,1,1,3,0,0,4931,0,128,360,N/A,Semiurban,0
LP001865,1,1,1,1,0,6083,4250,330,360,N/A,Urban,1
LP001868,1,0,0,1,0,2060,2209,134,360,1,Semiurban,1
LP001870,0,0,1,1,0,3481,0,155,36,1,Semiurban,0
LP001871,0,0,0,1,0,7200,0,120,360,1,Rural,1
LP001872,1,0,0,1,1,5166,0,128,360,1,Semiurban,1
LP001875,1,0,0,1,0,4095,3447,151,360,1,Rural,1
LP001877,1,1,2,1,0,4708,1387,150,360,1,Semiurban,1
LP001882,1,1,3,1,0,4333,1811,160,360,0,Urban,1
LP001883,0,0,0,1,N/A,3418,0,135,360,1,Rural,0
LP001884,0,0,1,1,0,2876,1560,90,360,1,Urban,1
LP001888,0,0,0,1,0,3237,0,30,360,1,Urban,1
LP001891,1,1,0,1,0,11146,0,136,360,1,Urban,1
LP001892,1,0,0,1,0,2833,1857,126,360,1,Rural,1
LP001894,1,1,0,1,0,2620,2223,150,360,1,Semiurban,1
LP001896,1,1,2,1,0,3900,0,90,360,1,Semiurban,1
LP001900,1,1,1,1,0,2750,1842,115,360,1,Semiurban,1
LP001903,1,1,0,1,0,3993,3274,207,360,1,Semiurban,1
LP001904,1,1,0,1,0,3103,1300,80,360,1,Urban,1
LP001907,1,1,0,1,0,14583,0,436,360,1,Semiurban,1
LP001908,0,1,0,0,0,4100,0,124,360,N/A,Rural,1
LP001910,1,0,1,0,1,4053,2426,158,360,0,Urban,0
LP001914,1,1,0,1,0,3927,800,112,360,1,Semiurban,1
LP001915,1,1,2,1,0,2301,985.7999878,78,180,1,Urban,1
LP001917,0,0,0,1,0,1811,1666,54,360,1,Urban,1
LP001922,1,1,0,1,0,20667,0,N/A,360,1,Rural,0
LP001924,1,0,0,1,0,3158,3053,89,360,1,Rural,1
LP001925,0,0,0,1,1,2600,1717,99,300,1,Semiurban,0
LP001926,1,1,0,1,0,3704,2000,120,360,1,Rural,1
LP001931,0,0,0,1,0,4124,0,115,360,1,Semiurban,1
LP001935,1,0,0,1,0,9508,0,187,360,1,Rural,1
LP001936,1,1,0,1,0,3075,2416,139,360,1,Rural,1
LP001938,1,1,2,1,0,4400,0,127,360,0,Semiurban,0
LP001940,1,1,2,1,0,3153,1560,134,360,1,Urban,1
LP001945,0,0,N/A,1,0,5417,0,143,480,0,Urban,0
LP001947,1,1,0,1,0,2383,3334,172,360,1,Semiurban,1
LP001949,1,1,3,1,N/A,4416,1250,110,360,1,Urban,1
LP001953,1,1,1,1,0,6875,0,200,360,1,Semiurban,1
LP001954,0,1,1,1,0,4666,0,135,360,1,Urban,1
LP001955,0,0,0,1,0,5000,2541,151,480,1,Rural,0
LP001963,1,1,1,1,0,2014,2925,113,360,1,Urban,0
LP001964,1,1,0,0,0,1800,2934,93,360,0,Urban,0
LP001972,1,1,N/A,0,0,2875,1750,105,360,1,Semiurban,1
LP001974,0,0,0,1,0,5000,0,132,360,1,Rural,1
LP001977,1,1,1,1,0,1625,1803,96,360,1,Urban,1
LP001978,1,0,0,1,0,4000,2500,140,360,1,Rural,1
LP001990,1,0,0,0,0,2000,0,N/A,360,1,Urban,0
LP001993,0,0,0,1,0,3762,1666,135,360,1,Rural,1
LP001994,0,0,0,1,0,2400,1863,104,360,0,Urban,0
LP001996,1,0,0,1,0,20233,0,480,360,1,Rural,0
LP001998,1,1,2,0,0,7667,0,185,360,N/A,Rural,1
LP002002,0,0,0,1,0,2917,0,84,360,1,Semiurban,1
LP002004,1,0,0,0,0,2927,2405,111,360,1,Semiurban,1
LP002006,0,0,0,1,0,2507,0,56,360,1,Rural,1
LP002008,1,1,2,1,1,5746,0,144,84,N/A,Rural,1
LP002024,N/A,1,0,1,0,2473,1843,159,360,1,Rural,0
LP002031,1,1,1,0,0,3399,1640,111,180,1,Urban,1
LP002035,1,1,2,1,0,3717,0,120,360,1,Semiurban,1
LP002036,1,1,0,1,0,2058,2134,88,360,N/A,Urban,1
LP002043,0,0,1,1,0,3541,0,112,360,N/A,Semiurban,1
LP002050,1,1,1,1,1,10000,0,155,360,1,Rural,0
LP002051,1,1,0,1,0,2400,2167,115,360,1,Semiurban,1
LP002053,1,1,3,1,0,4342,189,124,360,1,Semiurban,1
LP002054,1,1,2,0,0,3601,1590,N/A,360,1,Rural,1
LP002055,0,0,0,1,0,3166,2985,132,360,N/A,Rural,1
LP002065,1,1,3,1,0,15000,0,300,360,1,Rural,1
LP002067,1,1,1,1,1,8666,4983,376,360,0,Rural,0
LP002068,1,0,0,1,0,4917,0,130,360,0,Rural,1
LP002082,1,1,0,1,1,5818,2160,184,360,1,Semiurban,1
LP002086,0,1,0,1,0,4333,2451,110,360,1,Urban,0
LP002087,0,0,0,1,0,2500,0,67,360,1,Urban,1
LP002097,1,0,1,1,0,4384,1793,117,360,1,Urban,1
LP002098,1,0,0,1,0,2935,0,98,360,1,Semiurban,1
LP002100,1,0,N/A,1,0,2833,0,71,360,1,Urban,1
LP002101,1,1,0,1,N/A,63337,0,490,180,1,Urban,1
LP002103,N/A,1,1,1,1,9833,1833,182,180,1,Urban,1
LP002106,1,1,N/A,1,1,5503,4490,70,N/A,1,Semiurban,1
LP002110,1,1,1,1,N/A,5250,688,160,360,1,Rural,1
LP002112,1,1,2,1,1,2500,4600,176,360,1,Rural,1
LP002113,0,0,3,0,0,1830,0,N/A,360,0,Urban,0
LP002114,0,0,0,1,0,4160,0,71,360,1,Semiurban,1
LP002115,1,1,3,0,0,2647,1587,173,360,1,Rural,0
LP002116,0,0,0,1,0,2378,0,46,360,1,Rural,0
LP002119,1,1,1,0,0,4554,1229,158,360,1,Urban,1
LP002126,1,1,3,0,0,3173,0,74,360,1,Semiurban,1
LP002128,1,1,2,1,N/A,2583,2330,125,360,1,Rural,1
LP002129,1,1,0,1,0,2499,2458,160,360,1,Semiurban,1
LP002130,1,1,N/A,0,0,3523,3230,152,360,0,Rural,0
LP002131,1,1,2,0,0,3083,2168,126,360,1,Urban,1
LP002137,1,1,0,1,0,6333,4583,259,360,N/A,Semiurban,1
LP002138,1,1,0,1,0,2625,6250,187,360,1,Rural,1
LP002139,1,1,0,1,0,9083,0,228,360,1,Semiurban,1
LP002140,1,0,0,1,0,8750,4167,308,360,1,Rural,0
LP002141,1,1,3,1,0,2666,2083,95,360,1,Rural,1
LP002142,0,1,0,1,1,5500,0,105,360,0,Rural,0
LP002143,0,1,0,1,0,2423,505,130,360,1,Semiurban,1
LP002144,0,0,N/A,1,0,3813,0,116,180,1,Urban,1
LP002149,1,1,2,1,0,8333,3167,165,360,1,Rural,1
LP002151,1,1,1,1,0,3875,0,67,360,1,Urban,0
LP002158,1,1,0,0,0,3000,1666,100,480,0,Urban,0
LP002160,1,1,3,1,0,5167,3167,200,360,1,Semiurban,1
LP002161,0,0,1,1,0,4723,0,81,360,1,Semiurban,0
LP002170,1,1,2,1,0,5000,3667,236,360,1,Semiurban,1
LP002175,1,1,0,1,0,4750,2333,130,360,1,Urban,1
LP002178,1,1,0,1,0,3013,3033,95,300,N/A,Urban,1
LP002180,1,0,0,1,1,6822,0,141,360,1,Rural,1
LP002181,1,0,0,0,0,6216,0,133,360,1,Rural,0
LP002187,1,0,0,1,0,2500,0,96,480,1,Semiurban,0
LP002188,1,0,0,1,0,5124,0,124,N/A,0,Rural,0
LP002190,1,1,1,1,0,6325,0,175,360,1,Semiurban,1
LP002191,1,1,0,1,0,19730,5266,570,360,1,Rural,0
LP002194,0,0,0,1,1,15759,0,55,360,1,Semiurban,1
LP002197,1,1,2,1,0,5185,0,155,360,1,Semiurban,1
LP002201,1,1,2,1,1,9323,7873,380,300,1,Rural,1
LP002205,1,0,1,1,0,3062,1987,111,180,0,Urban,0
LP002209,0,0,0,1,N/A,2764,1459,110,360,1,Urban,1
LP002211,1,1,0,1,0,4817,923,120,180,1,Urban,1
LP002219,1,1,3,1,0,8750,4996,130,360,1,Rural,1
LP002223,1,1,0,1,0,4310,0,130,360,N/A,Semiurban,1
LP002224,1,0,0,1,0,3069,0,71,480,1,Urban,0
LP002225,1,1,2,1,0,5391,0,130,360,1,Urban,1
LP002226,1,1,0,1,N/A,3333,2500,128,360,1,Semiurban,1
LP002229,1,0,0,1,0,5941,4232,296,360,1,Semiurban,1
LP002231,0,0,0,1,0,6000,0,156,360,1,Urban,1
LP002234,1,0,0,1,1,7167,0,128,360,1,Urban,1
LP002236,1,1,2,1,0,4566,0,100,360,1,Urban,0
LP002237,1,0,1,1,N/A,3667,0,113,180,1,Urban,1
LP002239,1,0,0,0,0,2346,1600,132,360,1,Semiurban,1
LP002243,1,1,0,0,0,3010,3136,N/A,360,0,Urban,0
LP002244,1,1,0,1,0,2333,2417,136,360,1,Urban,1
LP002250,1,1,0,1,0,5488,0,125,360,1,Rural,1
LP002255,1,0,3,1,0,9167,0,185,360,1,Rural,1
LP002262,1,1,3,1,0,9504,0,275,360,1,Rural,1
LP002263,1,1,0,1,0,2583,2115,120,360,N/A,Urban,1
LP002265,1,1,2,0,0,1993,1625,113,180,1,Semiurban,1
LP002266,1,1,2,1,0,3100,1400,113,360,1,Urban,1
LP002272,1,1,2,1,0,3276,484,135,360,N/A,Semiurban,1
LP002277,0,0,0,1,0,3180,0,71,360,0,Urban,0
LP002281,1,1,0,1,0,3033,1459,95,360,1,Urban,1
LP002284,1,0,0,0,0,3902,1666,109,360,1,Rural,1
LP002287,0,0,0,1,0,1500,1800,103,360,0,Semiurban,0
LP002288,1,1,2,0,0,2889,0,45,180,0,Urban,0
LP002296,1,0,0,0,0,2755,0,65,300,1,Rural,0
LP002297,1,0,0,1,0,2500,20000,103,360,1,Semiurban,1
LP002300,0,0,0,0,0,1963,0,53,360,1,Semiurban,1
LP002301,0,0,0,1,1,7441,0,194,360,1,Rural,0
LP002305,0,0,0,1,0,4547,0,115,360,1,Semiurban,1
LP002308,1,1,0,0,0,2167,2400,115,360,1,Urban,1
LP002314,0,0,0,0,0,2213,0,66,360,1,Rural,1
LP002315,1,1,1,1,0,8300,0,152,300,0,Semiurban,0
